feature,importance,fold
PREV_HOUR_APPR_PROCESS_START_MAX,88,1
PREV_HOUR_APPR_PROCESS_START_MEAN,180,1
PREV_RATE_DOWN_PAYMENT_MIN,55,1
PREV_RATE_DOWN_PAYMENT_MAX,86,1
PREV_RATE_DOWN_PAYMENT_MEAN,118,1
PREV_DAYS_DECISION_MIN,101,1
PREV_DAYS_DECISION_MAX,231,1
PREV_DAYS_DECISION_MEAN,164,1
PREV_CNT_PAYMENT_MEAN,338,1
PREV_CNT_PAYMENT_SUM,113,1
PREV_NAME_CONTRACT_TYPE_Cashloans_MEAN,62,1
PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,35,1
PREV_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,25,1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,91,1
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,128,1
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,92,1
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,73,1
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,112,1
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,92,1
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,83,1
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,2,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buildingahouseoranannex_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Businessdevelopment_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buyingagarage_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buyingaholidayhomeland_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buyingahome_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buyinganewcar_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buyingausedcar_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Carrepairs_MEAN,6,1
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Everydayexpenses_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Gasificationwatersupply_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,19,1
PREV_NAME_CASH_LOAN_PURPOSE_Moneyforathirdperson_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,7,1
PREV_NAME_CASH_LOAN_PURPOSE_Paymentsonotherloans_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Purchaseofelectronicequipment_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Refusaltonamethegoal_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,25,1
PREV_NAME_CASH_LOAN_PURPOSE_Urgentneeds_MEAN,13,1
PREV_NAME_CASH_LOAN_PURPOSE_Weddinggiftholiday_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,12,1
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,44,1
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,100,1
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,89,1
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,118,1
PREV_NAME_CONTRACT_STATUS_Unusedoffer_MEAN,1,1
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Cashthroughthebank_MEAN,66,1
PREV_NAME_PAYMENT_TYPE_Cashlessfromtheaccountoftheemployer_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Noncashfromyouraccount_MEAN,10,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,94,1
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0,1
PREV_CODE_REJECT_REASON_CLIENT_MEAN,1,1
PREV_CODE_REJECT_REASON_HC_MEAN,60,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,21,1
PREV_CODE_REJECT_REASON_SCO_MEAN,80,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,24,1
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,1
PREV_CODE_REJECT_REASON_VERIF_MEAN,7,1
PREV_CODE_REJECT_REASON_XAP_MEAN,65,1
PREV_CODE_REJECT_REASON_XNA_MEAN,3,1
PREV_CODE_REJECT_REASON_nan_MEAN,0,1
PREV_NAME_TYPE_SUITE_Children_MEAN,24,1
PREV_NAME_TYPE_SUITE_Family_MEAN,58,1
